soluzione,definizione
ZENZERO,Rizoma aromatico dal gusto piccante
ZENZERO,Dà una nota pungente a tisane e piatti orientali
ZEPPA,Cuneo usato per bloccare o rialzare
ZEPPA,Suola piena che aumenta l'altezza della scarpa
ZEPPA,Può colmare uno spazio o sostenere dal basso
ZEPPELIN,Tipo di dirigibile rigido ideato in Germania
ZEPPOLA,Dolce fritto tradizionale di San Giuseppe
ZERBINO,Tappetino posto davanti alla porta
ZERO,Numero neutro nell'addizione
ZERO,"Assoluto, limite inferiore della temperatura"
ZERO,Aggiunto a destra può moltiplicare il valore di una cifra
ZERO,Segna l'assenza di quantità
ZETA,Ultima lettera dell'alfabeto italiano
ZEUGMA,Figura retorica in cui un solo verbo regge termini diversi
ZEUS,Sovrano degli dei dell'Olimpo
ZEUS,Scagliava fulmini dalla cima dell'Olimpo
ZIA,Sorella di uno dei genitori
ZIA,Parente che può essere materna o paterna
ZIBALDONE,Quello di pensieri raccoglie appunti di Leopardi
ZIBALDONE,"Raccolta eterogenea di note, idee e ricordi"
ZIBELLINO,Piccolo mustelide dalla pelliccia pregiata
ZIBIBBO,Vitigno aromatico coltivato soprattutto in Sicilia
ZICHICHI,"Antonino, fisico italiano e divulgatore scientifico"
ZIDANE,"Zinédine, fuoriclasse francese campione del mondo nel 1998"
ZIGGURAT,Grande torre templare a gradoni della Mesopotamia
ZIGOMO,Osso dello scheletro facciale che forma la guancia
ZIGOMO,La sua prominenza caratterizza il profilo del volto
ZIGOTE,Cellula formata dalla fusione dei gameti
ZIMBABWE,Stato africano compreso tra Zambesi e Limpopo
ZIMMER,"Hans, autore di celebri colonne sonore cinematografiche"
ZINCO,Metallo usato per proteggere il ferro dalla corrosione
ZINCO,"Elemento chimico essenziale, simbolo Zn"
ZINNIA,Fiore ornamentale dai colori vivaci
ZINNIA,Sboccia nelle aiuole durante la bella stagione
ZIO,Fratello di uno dei genitori
ZIO,"Quello d'America è, nel detto popolare, il parente facoltoso"
ZIRCONE,Minerale brillante spesso usato in gioielleria
ZIRLO,Verso breve e acuto del tordo
ZITTO,Invito a non parlare
ZITTO,Che non dice una parola
ZLOTY,Moneta nazionale della Polonia
ZN,Simbolo dell'elemento usato nella zincatura
ZN,Due lettere che indicano l'elemento atomico numero 30
ZOCCOLI,Calzature di legno oppure estremità dure di alcuni animali
ZOCCOLO,Base sporgente di un muro o calzatura di legno
ZOCCOLO,Riveste l'estremità del piede di cavalli e bovini
ZOCCOLO,Può essere una base architettonica o una protezione animale
ZODIACALE,Che riguarda la fascia celeste dei dodici segni
ZODIACO,Fascia della volta celeste attraversata dal Sole
ZODIACO,Comprende dodici segni usati dall'astrologia
ZODIACO,Cerchio simbolico diviso tra Ariete e Pesci
ZOFF,"Dino, capitano dell'Italia campione del mondo nel 1982"
ZOLA,"Gianfranco, fantasista sardo soprannominato Magic Box"
ZOLA,"Émile, autore di Germinale e del J'accuse"
ZOLA,Scrittore francese tra i maggiori esponenti del naturalismo
ZOLFO,Elemento chimico non metallico di colore giallo
ZOLFO,Brucia con una caratteristica fiamma azzurra
ZOLLA,Blocco compatto di terra sollevato dall'aratro
ZOLLETTA,Piccolo cubo pressato per addolcire una bevanda
ZOMBIE,Morto vivente dell'immaginario horror
ZONA,Parte di territorio dai limiti determinati o convenzionali
ZONA,Settore riservato a una funzione specifica
ZONA,Tipo di difesa che presidia spazi anziché avversari
ZONA,"Cesarini, gli ultimissimi minuti di una partita"
ZOO,Parco in cui sono ospitati animali di varie specie
ZOO,Elemento iniziale di parole legate al mondo animale
ZOO,Può riunire fauna proveniente da molti continenti
ZOOM,Varia l'inquadratura senza spostare la fotocamera
ZOOM,Piattaforma usata per riunioni e videochiamate
ZOOM,Obiettivo a lunghezza focale variabile
ZOONOSI,Infezione trasmissibile naturalmente tra animali e persone
ZOOTECNIA,Disciplina che studia allevamento e produzione animale
ZORRO,Eroe mascherato che lascia una firma a forma di Z
ZR,Simbolo dell'elemento atomico numero 40
ZUCCA,"Testa, in tono scherzoso"
ZUCCA,Ortaggio autunnale dalla polpa arancione
ZUCCHE,Si trasformano in lanterne per Halloween
ZUCCHERIERA,Recipiente da tavola per servire il dolcificante
ZUCCHERO,Dolcificante comune ricavato da canna o barbabietola
ZUCCHERO,Il cantante italiano di Senza una donna
ZUCCHERO,"Rende più dolci caffè, torte e marmellate"
ZUCCHINA,Ortaggio verde e allungato molto usato in cucina
ZUCCHINA,"Può finire in padella, in frittata o ripiena"
ZUCCHINA,"Si raccoglie immatura, prima che diventi una grande cucurbitacea"
ZUCKERBERG,"Mark, cofondatore di Facebook"
ZUFFA,Lite confusa con spinte e colpi
ZUFFA,Scontro breve e disordinato tra più persone
ZUFFA,Una rissa improvvisa e rumorosa
ZUFOLO,Piccolo flauto rustico della tradizione pastorale
ZUFOLO,Semplice strumento a fiato dal suono acuto
ZULU,"Popolo dell'Africa australe, soprattutto sudafricano"
ZUMBA,Attività fitness ispirata ai balli latinoamericani
ZUPPA,Preparazione liquida o densa servita in scodella
ZUPPA,Piatto caldo spesso arricchito con pane o legumi
ZUPPA,Si mangia con il cucchiaio nelle sere fredde
ZUPPA,Può accogliere fette di pane nel brodo
ZUPPE,Piatti fumanti da gustare al cucchiaio
ZUPPIERA,Recipiente da portata per minestre e brodi
ZUPPIERA,Sta al centro della tavola quando si serve la minestra
ZWINGLI,"Huldrych, protagonista della Riforma protestante svizzera"
ZYDECO,Genere musicale della Louisiana con fisarmonica e ritmi creoli
