soluzione,definizione
INCORAGGIO,Do coraggio
INCRINA,Produce una crepa
INCRINARE,Produrre una crepa
INCRINATO,Prodotto una crepa
INCRINO,Produco una crepa
INCROCIO,Dove due strade si tagliano
INCUBO,Demone maschile che opprime nel sonno
INCUBO,Il sogno angoscioso che fa svegliare
INCUBO,Brutto sogno
INCUDINE,Blocco del fabbro
INCUDINE,L'ossicino dell'orecchio medio
INCUDINE,Tra l'... e il martello: tra due fuochi
INCUDINE,Sta tra martello e ferro battuto
INDACO,Colore tra azzurro e violetto
INDACO,Il blu profondo tra l'azzurro e il violetto
INDAGA,Cerca prove con metodo
INDAGAI,Cercai prove con metodo
INDAGARE,Cercare prove con metodo
INDAGATO,Cercato prove con metodo
INDAGHERO,Cercherò prove con metodo
INDAGHIAMO,Cerchiamo prove con metodo
INDAGO,Cerco prove con metodo
INDECISIONE,Il non riuscire a scegliere
INDIA,Subcontinente di spezie e monsoni
INDIANA,"...Jones, l'archeologo avventuriero"
INDIANAJONES,L'archeologo avventuriero con la frusta
INDIANAPOLIS,Il circuito ovale della 500 miglia
INDIANO,In fila...: uno dietro l'altro
INDIANO,"Oceano tra Africa, Asia e Australia"
INDICA,Mostra con un segno
INDICARE,Mostrare con un segno
INDICATO,Mostrato con un segno
INDICE,"Il dito che addita, o l'elenco a fine libro"
INDICHERA,Mostrerà con un segno
INDICO,Mostro con un segno
INDIFFERENZA,Il non curarsi di nulla
INDIO,Elemento dal simbolo In
INDISPETTISCO,Provoco stizza
INDIVIA,Insalata dalle foglie riccie
INDIZIO,Pista per risolvere un mistero
INDO,Fiume che ha dato nome all'India
INDOMITA,Può esserlo una cosa non domata
INDOMITE,Possono esserlo cose non domate
INDOMITI,Possono esserlo oggetti non domati
INDOMITO,Può esserlo un oggetto non domato
INDORAI,Passato remoto: Coprire d'oro leggero
INDOSSA,Mette addosso
INDOSSAI,Misi addosso
INDOSSARE,Mettere addosso
INDOSSATO,Messo addosso
INDOSSO,Metto addosso
INDOVINELLO,Quesito da risolvere per gioco
INDOVINO,Risponde prima che accada
INDOVINO,Predice il futuro
INDUGIO,Mi attardo senza decidermi
INDULGENZA,Remissione ecclesiastica o clemenza
INDULTO,Perdono penale deciso dall'alto
INDURAIN,Il ciclista spagnolo dei cinque Tour
INDUS,Costellazione australe dell'Indiano
INDUSSE,Spinse ad agire
INDUZIONE,Il ragionare dal particolare al generale
INEFFABILE,Non si lascia dire fino in fondo
INERME,Può esserlo un oggetto senza difesa
INERMI,Possono esserlo oggetti senza difesa
INERTE,Il gas che non reagisce chimicamente
INERTE,"Non reagisce, in chimica o nella vita"
INERTI,Senza reazione
INERZIA,Resistenza a cambiare moto o abitudine
INFANZIA,Età in cui tutto sembra più grande
INFATUAZIONE,La passione improvvisa e passeggera
INFAUSTA,Può esserlo una cosa di cattivo presagio
INFAUSTE,Possono esserlo cose di cattivo presagio
INFAUSTI,Possono esserlo oggetti di cattivo presagio
INFAUSTO,Può esserlo un oggetto di cattivo presagio
INFERENZA,Il trarre una conclusione da premesse
INFERMIERE,Assiste i malati in corsia
INFERNO,Luogo di pena o gran confusione
INFERRIATA,La grata di ferro alla finestra
INFIAMMA,Accende di fuoco
INFIAMMARE,Accendere di fuoco
INFIAMMATO,Acceso di fuoco
INFIAMMO,Accendo di fuoco
INFIDA,Può esserlo una cosa poco affidabile
INFIDE,Possono esserlo cose poco affidabili
INFIDI,Possono esserlo oggetti poco affidabili
INFIDO,Può esserlo un oggetto poco affidabile
INFIMO,Sta al punto più basso della scala
INFIORESCENZA,Gruppo ordinato di fiori
INFISSO,Telaio di porta o finestra
INFLAZIONE,L'aumento generale dei prezzi
INFLISSE,Comminò la pena
INFLUENCER,Personaggio che orienta i follower in rete
INFOLTIRE,Rendere più folto
INFORMA,Dà notizia
INFORMARE,Dare notizia
INFORMATO,Dato notizia
INFORMO,Do notizia
INFUSE,Versò dentro
INFUSO,Bevanda ottenuta da erbe in acqua calda
INGANNA,Trae in errore
INGANNARE,Trarre in errore
INGANNATO,Tratto in errore
INGANNO,Traggo in errore
INGENUA,Può esserlo una cosa candida e inesperta
INGENUE,Possono esserlo cose candide e inesperte
INGENUI,Possono esserlo oggetti candidi e inesperti
INGENUO,Può esserlo un oggetto candido e inesperto
INGHILTERRA,La terra di Londra e della regina
INGORGO,Traffico bloccato
INGRANDIRE,Rendere più grande
INGRANDISCE,Rende più grande
INGRANDISCO,Rendo più grande
INGRANDISCONO,Rendono più grande
INGRANDITO,Reso più grande
INGRES,Pittore neoclassico francese
INIBIZIONE,Freno interiore o biologico
INIESTA,"Andres, regista spagnolo del Barcellona"
INIQUA,Può esserlo una cosa ingiusta
INIQUE,Possono esserlo cose ingiuste
INIQUI,Possono esserlo oggetti ingiusti
INIQUO,Può esserlo un oggetto ingiusto
INIZIA,Dà principio
INIZIAI,Diedi principio
INIZIARE,Dare principio
INIZIATO,Dato principio
INIZIO,Do principio
INNAFFIA,Dà acqua alle piante
INNAFFIARE,Dare acqua alle piante
INNAFFIATO,Dato acqua alle piante
INNAFFIO,Do acqua alle piante
INNESCO,Piccolo avvio di grandi conseguenze
INNESTO,Unione di piante o pezzi meccanici
INNO,...alla gioia: quello della Nona di Beethoven
INNO,Il canto solenne della patria
INNO,Canto solenne di una nazione
INNOCENZO,Nome di papi del Medioevo
INNOCUA,Può esserlo una cosa che non nuoce
INNOCUE,Possono esserlo cose che non fanno danno
INNOCUI,Possono esserlo oggetti che non fanno danno
INNOCUO,Può esserlo un oggetto che non nuoce
INNOMINATO,Potente convertito da una notte inquieta
INONDAZIONE,L'allagamento per le piene
INQUARTATO,Scudo diviso in quattro parti
INQUISIZIONE,Indagine che nella storia brucio molto
INSALATA,Piatto freddo di verdure
INSALATIERA,Recipiente da tavola per l'insalata
INSALATONA,Insalata ricca e abbondante
INSEGNA,Fa riconoscere un negozio o un reparto
INSEGNA,Cartello di un negozio
INSEGNAI,Trasmisi sapere
INSEGNANTE,Fa lezione in classe
INSEGNARE,Trasmettere sapere
INSEGNATO,Trasmesso sapere
INSEGNO,Trasmetto sapere
INSENATURA,Rientranza della costa
INSERIRE,Mettere dentro
INSERISCE,Mette dentro
INSERISCO,Metto dentro
INSERISCONO,Mettono dentro
INSERITO,Messo dentro
INSETTO,Animale con sei zampe
INSIDIA,Pericolo nascosto
INSIDIOSO,Pieno di nascoste insidie
INSIGNE,"Lorenzo, talento mancino del Napoli"
INSIPIDA,Può esserlo una bevanda senza sapore o brio
INSIPIDE,Possono esserlo bevande senza sapore o brio
INSIPIDI,Possono esserlo cibi senza sapore o brio
INSIPIDO,Può esserlo un cibo senza sapore o brio
INSISTE,Non smette di chiedere
INSISTERE,Non smettere di chiedere
INSISTO,Non smetto di chiedere
INSOLITA,Può esserlo una usanza fuori dal consueto
INSOLITE,Possono esserlo usanze fuori dal consueto
INSOLITI,Possono esserlo riti fuori dal consueto
INSOLITO,Può esserlo un rito fuori dal consueto
INSONNIA,Difficoltà a prendere sonno
INSORSE,Si ribellò apertamente
INSTAGRAM,Il social delle foto col cuoricino
INSULA,Il caseggiato popolare romano
INSULINA,Ormone che regola la glicemia
INSULTO,L'offesa rivolta a qualcuno
INTAGLIA,Incide nel legno
INTAGLIARE,Incidere nel legno
INTAGLIATO,Inciso nel legno
INTAGLIATORE,Artigiano che scolpisce il legno
INTAGLIO,Incido nel legno
INTARSIO,Decorazione con legni incastrati
INTATTA,Può esserlo una cosa non rovinata
INTATTE,Possono esserlo cose non rovinate
INTATTI,Possono esserlo oggetti non rovinati
INTATTO,Può esserlo un oggetto non rovinato
INTENSA,Può esserlo una cosa molto forte
INTENSE,Possono esserlo cose molto forti
INTENSI,Possono esserlo oggetti molto forti
INTENSO,Può esserlo un oggetto molto forte
INTERA,Può esserlo una cosa non divisa
INTERA,Passare la...nottata in bianco
INTERDETTO,Vietato o incapace secondo diritto
INTERE,Possono esserlo cose non divise
INTERFERENZA,La sovrapposizione di due onde
INTERI,Possono esserlo oggetti non divisi
INTERMEZZO,Brano fra due atti o due parti
INTERO,Il numero senza la parte decimale
INTERO,Può esserlo un oggetto non diviso
INTERPOL,La polizia internazionale di coordinamento
INTERROGAZIONE,La prova orale a scuola
INTERVENNE,Prese parte attiva
INTESE,Comprese il senso
INTIEPIDIRE,Rendere appena tiepido
INTONACO,Lo strato che riveste i muri
INTONSO,"Non tagliato, non usato, quasi vergine"
INTORPIDIMENTO,Il senso di rigidità e sonnolenza
INTRATTENIMENTO,Lo svago che fa passare il tempo
INTRAVIDE,Scorse appena
INTREPIDA,Può esserlo una donna senza timore
INTREPIDE,Possono esserlo donne senza timore
INTREPIDI,Possono esserlo uomini senza timore
INTREPIDO,Può esserlo un uomo senza timore
INTRISE,Imbevve di liquido
INUIT,Popolo dell'Artico già detto eschimese
INUYASHA,Il mezzo demone dei manga col kimono rosso
INVECE,"Al contrario, viceversa"
INVEISCO,Mi scaglio con parole offensive
INVELENISCO,Riempio di rancore
INVENTA,Crea ciò che non c'era
INVENTAI,Creai ciò che non c'era
INVENTARE,Creare ciò che non c'era
INVENTATO,Creato ciò che non c'era
INVENTO,Creo ciò che non c'era
INVERNO,Stagione di cappotti e giornate corte
INVERNO,Stagione fredda dell'anno
INVESTIGATORE,Indaga per scoprire la verità
INVETERATA,Può esserlo una usanza radicata da tempo
INVETERATE,Possono esserlo usanze radicate da tempo
INVETERATI,Possono esserlo riti radicati da tempo
INVETERATO,Può esserlo un rito radicato da tempo
INVIDIA,Desiderio verde per il bene altrui
INVIDIARE,Provare gelosia
INVIDIATO,Provato gelosia
INVIDIO,Provo gelosia
INVITA,Chiama a partecipare
INVITAI,Chiamai a partecipare
INVITARE,Chiamare a partecipare
INVITATO,Chiamato a partecipare
INVITO,Chiamo a partecipare
INVITO,La giocata che sollecita la risposta nelle carte
INVITO,Biglietto per partecipare
INZAGHI,"Filippo Pippo, opportunista d'area del Milan"
IO,Il pronome di chi parla
IO,Una delle lune di Giove
IODIO,Elemento da disinfettanti e tiroide
IONIO,Mare greco e meridionale
IONIO,Mare tra Italia e Grecia
IOTA,Minuscola lettera diventata quasi nulla
IOTA,Non cambiare di uno...: per niente
IOWA,Lo Stato americano del mais
IPAD,Il tablet della Apple
IPALLAGE,Scambia gli aggettivi in retorica
IPERBATO,Sposta l'ordine naturale delle parole
IPERBOLE,Esagera in retorica e curva in geometria
IPERMERCATO,Supermercato ancora più grande
IPERMETROPIA,Difetto visivo da vicino
IPERTENSIONE,Pressione del sangue troppo alta
IPHONE,Lo smartphone di punta della Apple
IPNOS,La personificazione greca del sonno
IPOCAUSTO,Riscaldamento sotto il pavimento romano
IPOFISI,Ghiandola alla base del cervello
IPOGEO,"Sotterraneo, spesso sepolcrale"
IPOTENUSA,Lato opposto all'angolo retto
IPOTESI,Supposizione da verificare
IPPICA,Sport equestre delle corse
IPPICA,Sport dei cavalli da corsa
IPPOCAMPO,Cavalluccio marino o parte del cervello
IPPOCRATE,Padre della medicina
IPPOGRIFO,Creatura fantastica da poema cavalleresco
IPPOPOTAMO,Pachiderma dei fiumi africani
IPSILON,La lettera greca a forma di Y
IR,"Andare, in spagnolo"
IR,Simbolo chimico dell'iridio
IRA,Collera breve e latina
IRA,L'esercito clandestino nordirlandese
IRA,Uno dei sette vizi capitali
IRACONDA,Può esserlo una donna facile all'ira
IRACONDE,Possono esserlo donne facili all'ira
IRACONDI,Possono esserlo uomini facili all'ira
IRACONDO,Può esserlo un uomo facile all'ira
IRAMA,Il cantante di Amici dei tatuaggi
IRAN,Antica Persia sulle carte moderne
IRAQ,Stato mesopotamico con capitale Baghdad
IRENE,Nome che significa pace
IRI,Vecchia sigla dell'industria pubblica italiana
IRIDE,Il fiore viola detto anche giaggiolo
IRIDE,La dea greca dell'arcobaleno
IRIDE,La parte colorata dell'occhio
IRIDESCENTE,Cangiante come olio sull'acqua
IRIDIO,Metallo durissimo dal simbolo Ir
IRIS,"Fiore, occhio o messaggera divina"
IRIS,Il fiore a forma di spada
IRIS,La parte colorata dell'occhio
IRLANDA,L'isola verde di Dublino
IRLANDA,Isola verde dell'Atlantico
IROCHESI,Confederazione di popoli nativi del Nord-est
IRONIA,Dice meno o altro per colpire di più
IRONIA,"Quella della sorte, il rovescio beffardo"
IRONIA,Dice il contrario per far capire meglio
IRRETISCO,Catturo come in una rete
IRRIGAZIONE,L'apporto artificiale di acqua ai campi
IRRITAZIONE,Il fastidio che cresce
IRSUTO,Coperto di peli ispidi
IRTA,Può esserlo una linea piena di punte
IRTE,Possono esserlo linee piene di punte
IRTI,Possono esserlo profili pieni di punte
IRTO,Pieno di punte o difficoltà
IRVING,Il nome del compositore Berlin
IS,Sigla automobilistica di Isernia
IS,"È, in inglese"
ISA,Diminutivo di Isabella
ISA,La Miranda cantante di Tico tico
ISAAC,Il nome dello scienziato Newton
ISABELLE,Il nome dell'attrice francese Huppert
ISACCO,Il figlio che Abramo stava per sacrificare
ISAIA,Profeta del Messia
ISBA,Casa russa di legno
ISCHIA,Isola campana delle terme
ISCHIA,L'isola verde del golfo di Napoli
ISEO,Lago lombardo meno citato del Como
ISHTAR,La dea babilonese dell'amore e della guerra
ISIDE,La grande dea egizia sposa di Osiride
ISINBAYEVA,La regina russa del salto con l'asta
ISLAMABAD,Capitale pakistana
ISLANDA,Isola nordica di geyser e vulcani
ISMAELE,Chiamatemi...: l'incipit di Moby Dick
ISMAELE,Il figlio di Abramo e Agar
ISO,Prefisso che vale uguale
ISO,Standard internazionale in tre lettere
ISOBARA,Linea dei punti con uguale pressione
ISOCRONO,Dura lo stesso tempo
ISOIPSA,Linea di uguale quota sulle carte
ISOLA,"Lei separa, taglia fuori"
ISOLA,Quella pedonale chiusa al traffico
ISOLA,Terra circondata dall'acqua
ISOLANA,Può esserlo una cosa di un'isola
ISOLANE,Possono esserlo cose di un'isola
ISOLANI,Possono esserlo oggetti di un'isola
ISOLANO,Può esserlo un oggetto di un'isola
ISOTOPO,Atomo con uguale numero atomico e diversa massa
ISPIDO,Ruvido e irto di peli
ISRAELE,Stato mediorientale di Gerusalemme e Tel Aviv
ISSAI,Passato remoto: Tirare verso l'alto
ISSATO,Participio: Tirare verso l'alto
ISSOPO,Erba aromatica e officinale
ISTANBUL,Città turca sul Bosforo
ISTANTE,Tempo troppo breve per diventare storia
ISTMO,Stretta terra fra due acque
ISTMO,Lingua di terra tra due mari
ISTOLOGIA,Lo studio dei tessuti
ISTRICE,Roditore dagli aculei
ITACA,L'isola del ritorno di Ulisse
ITALIA,La nazionale di calcio in maglia azzurra
ITALIA,La penisola a forma di stivale
ITALIA,Lo Stivale d'Europa
ITER,Percorso di pratiche e approvazioni
ITTERO,Colorito giallastro per il fegato
ITTIOSI,Malattia che squama la pelle
ITTITI,Antico popolo dell'Anatolia
IUTA,Fibra da sacchi ruvidi
IUTA,Fibra tessile dei sacchi
IVA,La Zanicchi della canzone italiana
IVA,La percentuale che gonfia lo scontrino
IZANAGI,Il dio creatore della mitologia giapponese
