soluzione,definizione
VALIDA,Può esserlo una storia efficace o fondata
VALIDE,Possono esserlo storie efficaci o fondate
VALIDI,Possono esserlo dati efficaci o fondati
VALIDITA,"In una sua accezione, «effetto»"
VALIDO,Può esserlo un dato efficace o fondato
VALIDO,Può significare «efficace»
VALIDO,Un possibile significato è «fondato»
VALIGIA,Casa provvisoria dei vestiti in viaggio
VALIGIA,Contiene abiti in viaggio
VALIGIA,Contiene il necessario per viaggiare
VALIGIA,"In una sua accezione, «borsa»"
VALIGIE,Seguono i viaggiatori
VALLATA,Può significare «conca»
VALLE,La conca tra due catene di monti
VALLE,Si apre tra due monti
VALLE,Territorio tra monti
VALLE,Vale anche «conca»
VALLETTA,L'assistente del presentatore in tv
VALLETTA,La capitale di Malta
VALLETTO,Assistente elegante di scena o palazzo
VALORE,Il coraggio del soldato in battaglia
VALORE,"Il prezzo, ciò che una cosa vale"
VALORE,"Prezzo, coraggio o numero"
VALORE,Può significare «forza»
VALORIZZARE,Vale anche «migliorare»
VALOROSO,Tra i suoi significati: «bravo»
VALOROSO,Tra i suoi significati: «coraggioso»
VALPARAISO,Porto del Cile
VALUTA,"Lei stima, soppesa il valore"
VALUTA,"In una sua accezione, «soldi»"
VALUTA,Vale anche «denaro»
VALUTARE,Stimare il valore
VALUTARE,Un possibile significato è «giudicare»
VALUTARE,Vale anche «rispettare»
VALUTATO,Stimato il valore
VALUTAZIONE,"In una sua accezione, «analisi»"
VALUTAZIONE,Può significare «stima»
VALUTO,Stimo il valore
VALVOLA,Regola il passaggio di aria o liquidi
VALZER,Ballo in tre tempi
VALZER,Danza di coppia in tre quarti
VALZER,Danza in tre tempi che fa girare le coppie
VAMPA,"La fiammata ardente, o l'ondata di calore"
VAMPIRI,"Temono aglio, sole e paletti"
VAMPIRO,Creatura notturna che teme luce e aglio
VAMPIRO,Mostro che teme la luce del sole
VAMPIRO,Non morto assetato di sangue
VAN,"...Gogh, il pittore dei girasoli"
VAN,"Mezzo chiuso, spesso da trasloco"
VANBASTEN,"Marco, cigno olandese bomber del Milan"
VANCOUVER,La città canadese sul Pacifico
VANDALI,Popolo germanico saccheggiatore
VANDALO,Devastatore e popolo germanico
VANDYCK,Ritrattista fiammingo delle corti
VANEGGIO,Dico cose senza senso
VANESI,Possono esserlo uomini pieni di vanità
VANESIA,Può esserlo una donna piena di vanità
VANESIE,Possono esserlo donne piene di vanità
VANESIO,Può esserlo un uomo pieno di vanità
VANGA,Attrezzo che apre la terra dell'orto
VANGA,Attrezzo che entra nella terra
VANGA,Attrezzo per rivoltare la terra
VANGA,L'attrezzo per dissodare l'orto
VANGOGH,Il Vincent dei girasoli
VANI,Stanze o inutili
VANIGLIA,Aroma dolce da orchidea
VANIGLIA,Aroma dolce di creme e biscotti
VANITA,Tra i suoi significati: «inutilità»
VANITA,"In una sua accezione, «superbia»"
VANO,"Inutile, senza esito"
VANO,Stanza o tentativo inutile
VANO,Un possibile significato è «camera»
VANTAGGIO,Tra i suoi significati: «tornaconto»
VANTAGGIOSO,Tra i suoi significati: «attivo»
VANTAGGIOSO,Tra i suoi significati: «salutare»
VANTARE,Un possibile significato è «lodare»
VANTARE,Può significare «elogiare»
VANTO,Darsi il...: vantarsi
VANTO,"Il motivo d'orgoglio, il fiore all'occhiello"
VANUATU,Arcipelago melanesiano
VAPORE,Acqua diventata aria
VAPORE,Acqua trasformata in gas
VAPORE,La nave a...d'altri tempi
VAPORE,Un possibile significato è «battello»
VAPORETTO,Battello pubblico dei canali veneziani
VAPORETTO,Il battello del trasporto pubblico veneziano
VARA,Mette in acqua una nave
VARAI,Passato remoto: Mettere in acqua una nave
VARANASI,Città sacra indiana sul Gange
VARANO,"Il grande sauro carnivoro, di Komodo il più grande"
VARATO,Participio: Mettere in acqua una nave
VARCARE,Tra i suoi significati: «superare»
VARCARE,Può significare «oltrepassare»
VARCO,Apertura che consente il passaggio
VARCO,Tra i suoi significati: «apertura»
VARCO,Un possibile significato è «spacco»
VARENNA,Borgo panoramico sul lago di Como
VARESE,Città lombarda dei giardini e dei laghi
VARIABILITA,Può significare «instabilità»
VARIAGHI,Vichinghi che fondarono la Rus'
VARIANTE,Tra i suoi significati: «versione»
VARIARE,Può significare «cambiare»
VARIARE,Un possibile significato è «mutare»
VARIAZIONE,Tra i suoi significati: «cambiamento»
VARIAZIONE,Tra i suoi significati: «mutazione»
VARIEGATO,Tra i suoi significati: «eclettico»
VARIEGATO,Tra i suoi significati: «eterogeneo»
VARIETA,Tra i suoi significati: «diversità»
VARIETA,Un possibile significato è «molteplicità»
VARIO,Non uguale a sé stesso
VARIO,"In una sua accezione, «rispettivo»"
VARO,Il generale romano disfatto a Teutoburgo
VARO,Primo contatto della nave con l'acqua
VARSAVIA,Capitale della Polonia
VARSAVIA,Capitale polacca ricostruita dopo la guerra
VARSAVIA,Il Patto di...del blocco sovietico
VARUNA,Il dio indù delle acque
VASAIO,Artigiano che modella vasi al tornio
VASARI,Il Giorgio delle Vite degli artisti
VASCA,Recipiente grande per bagno o pesci
VASCA,Tra i suoi significati: «piscina»
VASCELLO,Grande nave a vele delle flotte antiche
VASCELLO,Grande nave d'altri tempi
VASCHE,Si riempiono per il bagno
VASCHETTA,Piccolo recipiente aperto
VASCHETTA,Tra i suoi significati: «bacino»
VASCO,"...de Gama, il navigatore portoghese"
VASCO,"Il rocker di Zocca, Blasco"
VASETTO,Piccolo recipiente di vetro
VASI,Recipienti o canali del corpo
VASO,Contiene fiori o conserva ceneri
VASO,"Contiene fiori, terra o ceneri"
VASO,"Il...di Pandora, l'origine di tutti i mali"
VASO,Quello sanguigno che porta il sangue
VASO,Sta sul davanzale o nel corpo
VASSOIO,Porta bicchieri senza bere
VASSOIO,Vale anche «cabaret»
VASTA,Può esserlo una linea molto ampia
VASTE,Possono esserlo linee molto ampie
VASTI,Possono esserlo profili molto ampi
VASTITA,"In una sua accezione, «estensione»"
VASTITA,Può significare «grandezza»
VASTO,Può esserlo un profilo molto ampio
VASTO,Può significare «grande»
VASTO,Può significare «enorme»
VATE,Autore di versi con tono profetico
VATE,Poeta con tono profetico
VATE,Vale anche «profeta»
VATICANO,Lo Stato del Papa
VATICINIO,Profezia con tono solenne
VB,Iniziali del giurista Bachelet
VB,Sigla automobilistica del Verbano-Cusio-Ossola
VC,Iniziali del poeta Cardarelli
VC,Sigla automobilistica di Vercelli
VE,Pronome: ...lo avevo detto
VE,Sigla automobilistica di Venezia
VECCHIO,Avanzato negli anni
VECCHIO,Il ponte di Firenze con le botteghe orafe
VECCHIO,Tra i suoi significati: «precedente»
VECCHIONI,"Il cantautore professore di Samarcanda, Roberto"
VEDERE,"In una sua accezione, «trovare»"
VEDERE,Può significare «vista»
VEDETTA,Fa la guardia da un punto alto
VEDETTA,Sorveglia da lontano
VEDOVA,Donna dopo la perdita del marito
VEDOVA,"La...nera, il ragno velenoso"
VEDUTA,Vale anche «stampa»
VEDUTA,"In una sua accezione, «fotografia»"
VEEMENTE,Impulsivo e vigoroso
VEEMENTI,Impulsivo e acceso
VEGA,La stella più brillante della Lira
VEGA,"Vincent..., il sicario di Pulp Fiction"
VEGAS,La città americana del gioco d'azzardo nel deserto
VEGETA,Il principe dei saiyan in Dragon Ball
VEGETALE,Un possibile significato è «pianta»
VEGETAZIONE,Un possibile significato è «verde»
VEGLIA,Il contrario del sonno
VEGLIA,Resta sveglio
VEGLIAI,Passato remoto: Restare sveglio
VEICOLO,Tra i suoi significati: «mezzo»
VELA,Il telo che cattura il vento e spinge la barca
VELA,Lo sport che sfrutta il vento in barca
VELA,Prende il vento sulla barca
VELARIO,Grande tenda dei teatri o anfiteatri
VELAZQUEZ,Il Diego delle Meninas
VELE,Prendono il vento in mare
VELENO,Fa male anche in piccola dose
VELENO,Sostanza che nuoce già in piccole dosi
VELENO,Sostanza che nuoce o uccide
VELENO,Sputare...: dire cattiverie
VELIA,Nome antico e città della Magna Grecia
VELIERO,Nave che obbedisce al vento
VELLEITARI,Pieni di ambizioni vane
VELLEITARIA,Piena di ambizioni vane
VELLEITARIE,Piene di ambizioni vane
VELLEITARIO,Pieno di ambizioni vane
VELLUTO,Stoffa che invita la mano
VELLUTO,Tessuto morbido al tatto
VELLUTO,Tessuto morbido con pelo fitto
VELO,Copre senza nascondere del tutto
VELO,Quello che copre il volto della sposa
VELO,Un... di malinconia: un'ombra leggera
VELOCE,"Rapido, ma non sempre frettoloso"
VELOCE,Tra i suoi significati: «forte»
VELOCE,Un possibile significato è «presto»
VELOCEMENTE,Un possibile significato è «forte»
VELOCEMENTE,Può significare «presto»
VELOCIRAPTOR,Il piccolo e agile dinosauro predatore
VELOCITA,"In una sua accezione, «tasso»"
VELOCITA,"In una sua accezione, «ritmo»"
VELOCIZZARE,Tra i suoi significati: «accelerare»
VELOUTE,Vellutata salsa o crema
VENA,Il filone del minerale nella roccia
VENA,L'ispirazione: essere in... creativa
VENA,Porta il sangue al cuore
VENA,Strada del sangue e dell'ispirazione
VENATURA,Linea naturale in legno o marmo
VENDE,Cede per denaro
VENDEMMIA,La raccolta dell'uva
VENDEMMIATORE,Chi raccoglie l'uva
VENDERE,Cedere per denaro
VENDETTA,"Giustizia privata, spesso peggiore del torto"
VENDETTA,Può significare «rappresaglia»
VENDETTA,Tra i suoi significati: «rivalsa»
VENDITA,Un possibile significato è «esito»
VENDITA,Cessione di un bene in cambio di denaro
VENDITORE,Trasforma merci in offerte e sorrisi
VENDITORE,Un possibile significato è «trafficante»
VENDITTI,L'Antonello di Roma capoccia
VENDO,Cedo per denaro
VENERE,Dea della bellezza nata dal mare
VENERE,"Dea, pianeta e canone di bellezza"
VENERE,Il pianeta che brilla all'alba e al tramonto
VENETI,Antico popolo dell'Italia nord-orientale
VENETO,"Regione di laguna, ville e Dolomiti"
VENEZIA,Città lagunare di San Marco
VENEZUELA,Paese dell'Orinoco
VENIALE,Di poco conto
VENIALI,Di poco conto
VENIER,"La zia della domenica in tv, Mara"
VENIRE,...al dunque: arrivare al punto
VENIRE,Tra i suoi significati: «diventare»
VENIRE,Può significare «arrivare»
VENOM,Il simbionte nero nemico di Spider-Man
VENTAGLI,Muovono aria con un gesto
VENTAGLIO,Fa aria con stecche e carta
VENTAGLIO,Fa aria con un gesto
VENTAGLIO,Un'ampia gamma di possibilità
VENTAGLIO,"In una sua accezione, «ventilatore»"
VENTILATORE,Muove l'aria nelle giornate calde
VENTILATORE,Tra i suoi significati: «ventaglio»
VENTILATORE,Un possibile significato è «ventola»
VENTO,Aria in movimento
VENTO,Aria in viaggio tra alberi e vele
VENTO,Avere il...in poppa: essere in piena fortuna
VENTO,Chi lo semina raccoglie tempesta
VENTOLA,Un possibile significato è «ventaglio»
VENTOLA,Può significare «ventilatore»
VENTOSA,Aderisce per aspirazione
VENTOSA,Si attacca facendo il vuoto
VENTRE,Può significare «seno»
VENTRE,"In una sua accezione, «pancia»"
VENTRILOQUO,Fa parlare una voce che sembra altrove
VERA,"Autentica, non contraffatta"
VERA,"L'anello nuziale, la fede"
VERA,Può esserlo una storia non falsa
VERA,Vale anche «fede»
VERACE,"Il napoletano...: autentico, doc"
VERACE,Può esserlo un dato sincero e autentico
VERACI,Possono esserlo dati sinceri e autentici
VERAMENTE,Può significare «molto»
VERAMENTE,Un possibile significato è «davvero»
VERANDA,Ambiente chiuso da vetri o portico coperto
VERANDA,Stanza vetrata affacciata all'esterno
VERANDA,"In una sua accezione, «loggia»"
VERBALE,"In una sua accezione, «resoconto»"
VERBENA,Pianta odorosa da giardino e infusi
VERBENA,Pianta profumata da giardino e tisane
VERBO,"Il...divino, la Parola di Dio"
VERBO,Parola che porta l'azione
VERCELLI,Città piemontese delle risaie
VERCINGETORIGE,Il capo gallico che resistette a Cesare
VERDE,"Colore di erba, speranza e semaforo"
VERDE,Essere al...: restare senza un soldo
VERDE,Il semaforo che dà via libera
VERDE,Può significare «vegetazione»
VERDERAME,Patina verde del rame
VERDETTO,Decisione finale di giudici o giuria
VERDETTO,Un possibile significato è «decisione»
VERDETTO,Può significare «sentenza»
VERDI,Il Giuseppe del Nabucco
VERDI,Musicista di Aida e Rigoletto
VERDONE,"L'attore e regista romano di tante commedie, Carlo"
VERDURIERE,Vende ortaggi e frutta
VERE,Gli anelli nuziali
VERE,Non falso
VERGA,"Bastone, ramo o scrittore siciliano"
VERGA,Narratore dei Malavoglia
VERGA,Può significare «membro»
VERGAI,Passato remoto: Scrivere con cura
VERGATO,Participio: Scrivere con cura
VERGINE,Foresta...: quella incontaminata
VERGINE,L'olio extra...d'oliva
VERGINE,Segno zodiacale con la stella Spica
VERGO,Scrivo con cura
VERGOGNA,Può significare «confusione»
VERGOGNA,"In una sua accezione, «imbarazzo»"
VERGOGNARE,Un possibile significato è «arrossire»
VERI,Non falsi
VERIDICITA,Può significare «autenticità»
VERIDICITA,Può significare «attendibilità»
VERIFICA,Può significare «controllo»
VERIFICA,Può significare «conferma»
VERIFICARE,Un possibile significato è «controllare»
VERIFICARE,Tra i suoi significati: «rivedere»
VERIFICARSI,Può significare «succedere»
VERIFICARSI,Un possibile significato è «accadere»
VERITA,L'ora della...: il momento decisivo
VERITA,"Quella che, prima o poi, viene a galla"
VERITA,Un possibile significato è «autenticità»
VERLAINE,Autore di versi francese simbolista
VERLAINE,Poeta francese simbolista
VERME,Abitante del terreno e del dubbio
VERME,Il piccolo animale che striscia senza zampe
VERME,Tra i suoi significati: «bruco»
VERMEER,Il pittore della Ragazza con l'orecchino
VERMEIL,Argento dorato per gioielli
VERMENTINO,Il bianco sardo e ligure
VERMIGLI,Possono esserlo colori rossi accesi
VERMIGLIA,Può esserlo una tinta rossa accesa
VERMIGLIE,Possono esserlo tinte rosse accese
VERMIGLIO,Rosso vivo da pittura
VERMIGLIONE,Rosso vivo da pigmento
VERMONT,Lo Stato americano dello sciroppo d'acero
VERMUT,Aperitivo aromatizzato da Torino
VERNACOLO,Lingua locale e popolare
VERNE,Il Jules di Ventimila leghe sotto i mari
VERNICE,Colore liquido per muri o oggetti
VERNICE,Riveste e colora le superfici
VERNICE,Una...di cultura: superficiale e di facciata
VERNICE,Vale anche «colore»
VERO,Ciò che corrisponde alla realtà
VERO,"Non finto, ma spesso da provare"
VERO,Tra i suoi significati: «reale»
VERON,"Juan, regista argentino di Lazio e Inter"
VERONA,Città dell'Arena e di Giulietta
VERONE,L'antico balcone aperto
VERONESE,Il Paolo delle Nozze di Cana
VERONESE,L'abitante di Verona
VERONICA,Fiorellino azzurro spontaneo
VEROSIMILE,Vale anche «probabile»
VEROSIMILE,Tra i suoi significati: «plausibile»
VERRATTI,"Marco, regista azzurro del PSG"
VERRI,Il Pietro illuminista milanese
VERRICELLO,Argano di piccola taglia
VERROCCHIO,Lo scultore maestro di Leonardo
VERSA,Fa uscire un liquido
VERSACE,Il Gianni della moda italiana
VERSAILLES,La reggia del Re Sole
VERSAMENTO,Può significare «pagamento»
VERSAMENTO,Tra i suoi significati: «compenso»
VERSANTE,Fianco di monte o parte in causa
VERSANTE,Può significare «costa»
VERSANTE,Tra i suoi significati: «fianco»
VERSARE,Far uscire un liquido
VERSARE,"In una sua accezione, «spargere»"
VERSARE,Tra i suoi significati: «depositare»
VERSATO,Fatto uscire un liquido
VERSIONE,Un possibile significato è «traduzione»
VERSIONE,Un possibile significato è «variante»
VERSO,"Quello dell'animale, come il raglio dell'asino"
VERSO,Riga di poesia o voce animale
VERSO,"Riga poetica, direzione o grido animale"
VERSO,Può significare «voce»
VERSTAPPEN,Il pilota olandese più volte iridato di F1
VERTEBRA,Ciascun osso della colonna
VERTENZA,Tra i suoi significati: «causa»
VERTENZA,Vale anche «giudizio»
VERTICE,Vale anche «top»
VERTICE,Può significare «cima»
VERTIGINE,Capogiro davanti al vuoto
VERZA,Il cavolo dalle foglie increspate
VERZIERE,Giardino di piante da frutto e ortaggi
VESCICA,Organo che raccoglie l'urina
VESCICA,Tra i suoi significati: «bolla»
VESCICA,Tra i suoi significati: «galla»
VESCOVILE,Tra i suoi significati: «episcopale»
VESCOVILE,"In una sua accezione, «sacerdotale»"
VESCOVO,Pastore di diocesi e pezzo degli scacchi
VESPA,Lo scooter italiano della Piaggio
VESPA,"Punge, ronza o corre su due ruote"
VESPA,Tra i suoi significati: «scooter»
VESPASIANO,Vecchio orinatoio pubblico dal nome imperiale
VESPUCCI,Navigatore che diede il nome all'America
VESSILLO,Bandiera solenne
VESTA,Custodiva il fuoco sacro di Roma
VESTAGLIA,Abito morbido da casa e mattino
VESTE,"Abito, ma anche funzione"
VESTE,"L'abito, l'indumento"
VESTE,Può significare «funzione»
VESTIARIO,"In una sua accezione, «abito»"
VESTIARIO,"In una sua accezione, «abiti»"
VESTIBOLO,Ambiente d'ingresso
VESTIBOLO,Può significare «ingresso»
VESTIBOLO,Tra i suoi significati: «entrata»
VESTIRE,"In una sua accezione, «abito»"
VESTIRE,"In una sua accezione, «abiti»"
VESTITO,Un possibile significato è «completo»
VESTITO,Tra i suoi significati: «abito»
VESUVIO,Vulcano che domina Napoli
VETERINARIO,Il medico degli animali
VETO,"Il divieto, l'opposizione netta"
VETO,No con forza istituzionale
VETO,"In una sua accezione, «divieto»"
VETRAIO,Artigiano che lavora il vetro
VETRAIO,Lavora lastre trasparenti e infissi
VETRATA,Grande finestra colorata o trasparente
VETRINA,Mostra la merce ai passanti
VETRINA,Mostra merce senza venderla ancora
VETRINA,Un possibile significato è «mostra»
VETRIOLO,"Antico nome di solfati, poi acidità verbale"
VETRO,Materiale trasparente e fragile
VETRO,Un solido trasparente e fragile
VETRO,Tra i suoi significati: «cristallo»
VETTA,Cima che non concede oltre
VETTA,La cima più alta del monte
VETTA,Può significare «punta»
VETTEL,Il pilota tedesco quattro volte iridato di F1
VETTORE,"Grandezza con modulo, direzione e verso"
VETTURA,Può significare «auto»
VETTURA,Vale anche «macchina»
VETUSTA,Può esserlo una usanza molto antica
VETUSTE,Possono esserlo usanze molto antiche
VETUSTI,Possono esserlo riti molto antichi
VETUSTO,Antico fino alla polvere
VEZZALI,La Valentina fiorettista olimpica
VI,Avverbio di luogo: ...si respira pace
VI,Sigla automobilistica di Vicenza
VIA,Il segnale della partenza
VIA,Lontano: andare...
VIA,Strada o ordine di partenza
VIA,Può significare «fuori»
VIADOTTO,Ponte lungo per strade e ferrovie
VIADOTTO,Ponte lungo su valle o strada
VIAGGERA,Andrà da un luogo a un altro
VIAGGIA,Va da un luogo a un altro
VIAGGIARE,Andare da un luogo a un altro
VIAGGIATO,Andato da un luogo a un altro
VIAGGIATORE,Può significare «passeggero»
VIAGGIO,Movimento nello spazio e nella mente
VIAGGIO,Tra i suoi significati: «sballo»
VIALE,Il largo corso alberato
VIALE,Strada con alberi e passeggio
VIALE,Vale anche «corso»
VIALLI,L'attaccante della Sampdoria scudettata
VIANDANTE,Camminatore da strade antiche
VIATICO,Aiuto per il viaggio o sacramento finale
VIBRAFONO,Strumento a percussione dal suono vibrato
VIBRAI,Passato remoto: Tremare rapidamente
VIBRARE,Può significare «tremare»
VIBRARE,Tra i suoi significati: «risuonare»
VIBRATO,Oscillazione espressiva del suono
VIBRISSA,Baffo sensibile di molti animali
VICARIO,Può significare «curato»
VICCHIO,Paese natale di Giotto nel Mugello
VICE,"In una sua accezione, «supplente»"
VICENZA,Città veneta di Palladio
VICHINGHI,Navigatori e guerrieri scandinavi
VICINANZA,Può significare «dintorni»
VICINANZA,Vale anche «prossimità»
VICINANZE,Tra i suoi significati: «dintorni»
VICINANZE,Può significare «prossimità»
VICINO,Prossimo nello spazio o nella casa accanto
VICINO,Tra i suoi significati: «altro»
VICINO,Un possibile significato è «presso»
VICO,Può significare «villaggio»
VICO,Può significare «casale»
VICOLO,Quello cieco non porta da nessuna parte
VICOLO,Strada stretta da passi lenti
VICOLO,Strada stretta di paese
VICOLO,Vale anche «corridoio»
VICTOR,Il nome dello scrittore Hugo
VICTOR,Il...Frankenstein del romanzo
VICTORIA,Il nome della regina inglese dell'Ottocento
VIDEO,"Immagine in movimento, non per forza film"
VIDEO,Lo schermo del computer e della tv
VIDEO,Vale anche «schermo»
VIDEOCITOFONO,Mostra chi suona alla porta
VIDEOCLIP,Tra i suoi significati: «filmato»
VIDEOGAME,Tra i suoi significati: «videogioco»
VIDEOGIOCO,Si gioca col joystick o col mouse
VIDEOGIOCO,Un possibile significato è «videogame»
VIE,Le...del Signore sono infinite
VIE,Strade cittadine
VIEIRA,"Patrick, mediano francese di Juve e Arsenal"
VIENNA,Capitale austriaca sul Danubio
VIENNA,"Città del Danubio, dei valzer e degli Asburgo"
VIERI,"Christian, bomber Bobo di Inter e Lazio"
VIETNAM,Paese lungo la costa indocinese
VIGENTE,Vale anche «fondato»
VIGENTE,Può significare «valido»
VIGILANTE,Può significare «guardiano»
VIGILANZA,Tra i suoi significati: «controllo»
VIGILANZA,Un possibile significato è «sorveglianza»
VIGILARE,"In una sua accezione, «guardare»"
VIGILARE,"In una sua accezione, «controllare»"
VIGILE,Sorveglia o dirige il traffico
VIGILE,Tra i suoi significati: «sveglio»
VIGILIA,Attesa prima della festa o della prova
VIGILIA,Può significare «digiuno»
VIGLIACCO,Vale anche «vile»
VIGLIACCO,Tra i suoi significati: «codardo»
VIGNA,Campo di viti
VIGNA,Filari da vendemmia
VIGNA,Il filare dove cresce l'uva
VIGNAIOLO,Coltiva la vite e produce vino
VIGNAIOLO,Segue la vite fino al vino
VIGNETO,Campo ordinato da cui nasce il vino
VIGNETO,Vigna organizzata in filari
VIGORE,Entrare in...: diventare legge operante
VIGORE,Forza piena e vitale
VIGORE,"In una sua accezione, «energia»"
VIKINGS,La serie sui guerrieri scandinavi
VILE,Basso di prezzo o d'animo
VILE,"Il codardo, il vigliacco"
VILE,Può significare «vigliacco»
VILIPENDIO,Offesa pubblica a ciò che si dovrebbe rispettare
VILIPENDIO,Vale anche «sdegno»
VILIPENDIO,Vale anche «scherno»
VILLA,Casa signorile fuori dal rumore
VILLA,La grande casa signorile col giardino
VILLAGGIO,Vale anche «paese»
VILLAGGIO,Vale anche «cittadina»
VILLANO,"Rozzo nei modi, contadino in origine"
VILLANO,Può significare «contadino»
VILLANO,Un possibile significato è «ignorante»
VILLEGGIATURA,Il soggiorno di vacanza
VILLEGGIATURA,Vale anche «vacanza»
VILLEGGIATURA,"In una sua accezione, «ferie»"
VILLENEUVE,"Il pilota canadese di F1, Gilles"
VILLETTA,Casa indipendente con un po' di giardino
VILLETTA,Vale anche «casetta»
VILLETTA,Può significare «palazzina»
VILNIUS,Capitale della Lituania
VILUPPO,Intrico difficile da sciogliere
VIMINALE,Fatto di vimini o colle romano
VIMINALE,Materia flessibile da cesti
VIMINI,Rami flessibili da intreccio
VINACCIA,Residuo dell'uva dopo la pigiatura
VINAIO,Vende bottiglie e consigli da cantina
VINCA,Pianta ornamentale dai fiori azzurri
VINCE,Supera gli avversari
VINCENT,Il nome del pittore van Gogh
VINCENZO,Il nome del compositore Bellini
VINCERE,Superare gli avversari
VINCERE,Può significare «ottenere»
VINCERE,Tra i suoi significati: «superare»
VINCO,Supero gli avversari
VINCOLO,Vale anche «legame»
VINO,"Il nettare di Bacco, rosso o bianco"
VINO,Nasce dall'uva e migliora racconti
VINSE,Ebbe la meglio
VINTO,Vale anche «sconfitto»
VINTO,Un possibile significato è «perdente»
VIOLA,"Fiore, colore e strumento musicale"
VIOLA,Il fiore profumato di marzo
VIOLA,"La squadra di Firenze, la Fiorentina"
VIOLA,Lo strumento ad arco più grave del violino
VIOLARE,Tra i suoi significati: «offendere»
VIOLARE,Tra i suoi significati: «penetrare»
VIOLAZIONE,Vale anche «infrazione»
VIOLAZIONE,Può significare «trasgressione»
VIOLENZA,Può significare «forza»
VIOLETTA,Piccolo fiore viola
VIOLINO,Canta sotto il mento dell'orchestrale
VIOLINO,Fare il secondo...: avere un ruolo subordinato
VIOLINO,Strumento ad arco acuto
VIOLONCELLO,Strumento ad arco da suonare seduti
VIOTTOLO,Piccola strada di campagna
VIP,Persona importante per acronimo
VIPERA,Lingua di...: persona maldicente
VIPERA,Serpente velenoso europeo
VIPERA,Vale anche «serpente»
VIPERE,Serpenti dal morso velenoso
VIRACOCHA,Il dio creatore degli Inca
VIRAI,Passato remoto: Cambiare direzione
VIRATO,Participio: Cambiare direzione
VIRGILIO,Guidò Dante nell'Inferno poetico
VIRGILIO,Il poeta dell'Eneide
VIRGILIO,La guida di Dante nell'Inferno
VIRGINIA,Lo Stato americano dei primi coloni inglesi
VIRGO,Costellazione zodiacale latina
VIRGULTO,Giovane ramo flessibile
VIRILE,"In una sua accezione, «maschile»"
VIRILE,"In una sua accezione, «maschio»"
VIROLOGIA,Lo studio dei virus
VIRTU,Può significare «valore»
VIRTU,Vale anche «merito»
VIRTUALMENTE,"In una sua accezione, «letteralmente»"
VIRTUALMENTE,Tra i suoi significati: «potenzialmente»
VIRTUOSA,Può esserlo una donna abile o morale
VIRTUOSE,Possono esserlo donne abili o morali
VIRTUOSI,Possono esserlo uomini abili o morali
VIRTUOSO,Può esserlo un uomo abile o morale
VIRTUOSO,Un possibile significato è «onesto»
VIRUS,Minuscolo invasore di cellule e computer
VISA,"Carta o visto, secondo la lingua"
